population,frequency,SNR_median,variance,variance_smoothed,slope,intercept,equation
35-45,2617.19,12.158137896666686,80.24373477790373,0.31534702055407837,-0.004420914798834094,23.72851189902729,y = -0.004421x + 23.728512
35-45,2656.25,11.992794627283478,73.43799510993412,0.3249727433345225,-0.004174335518809708,23.080873349121767,y = -0.004174x + 23.080873
35-45,2695.31,11.819373032230388,70.67258926502608,0.3372056354245999,-0.004900549918269378,25.02787423244102,y = -0.004901x + 25.027874
35-45,2734.38,11.621245781330046,69.34494219427017,0.3532911646590208,-0.004756179792676634,24.626448682829178,y = -0.004756x + 24.626449
35-45,2773.44,11.454357743095905,72.59245918664406,0.3640583930168345,-0.00410559966444098,22.840992076443097,y = -0.004106x + 22.840992
35-45,2812.5,11.283679358534553,73.92544681952624,0.3697328058850219,-0.004748182132930632,24.637941607401956,y = -0.004748x + 24.637942
35-45,2851.56,11.087151690863735,72.93683619913334,0.37530014079026514,-0.005104901621975697,25.644084960024752,y = -0.005105x + 25.644085
35-45,2890.62,10.891750209516498,77.2646377943567,0.3859452049178076,-0.004934296557204558,25.15492652370314,y = -0.004934x + 25.154927
35-45,2929.69,10.70159210854028,79.71522575655342,0.3980018444249748,-0.004767053894691975,24.667582233280413,y = -0.004767x + 24.667582
35-45,2968.75,10.519079027836323,79.11382797857752,0.41622941271089625,-0.004616694281085304,24.22489017480832,y = -0.004617x + 24.224890
35-45,3007.81,10.340382341614692,85.85284472651203,0.4271652347985276,-0.0045088546127324625,23.90216033433752,y = -0.004509x + 23.902160
35-45,3046.88,10.153592380347188,81.3950327782516,0.4351023637885734,-0.005415409518854943,26.653695335155938,y = -0.005415x + 26.653695
35-45,3085.94,9.925017327684634,81.95682039331021,0.4402281778056504,-0.005728165316724095,27.60179180517619,y = -0.005728x + 27.601792
35-45,3125.0,9.71322702665859,73.11801629512702,0.4455746397912847,-0.005494152999855149,26.882455151205928,y = -0.005494x + 26.882455
35-45,3164.06,9.498275385624847,86.7624210476954,0.4466501615110093,-0.005071101490290671,25.543544766993946,y = -0.005071x + 25.543545
35-45,3203.12,9.312235158213142,86.90056163061607,0.44233904317218986,-0.005019587616973714,25.390576645893983,y = -0.005020x + 25.390577
35-45,3242.19,9.104712451017084,86.2691678362423,0.4310653999790892,-0.005073826133237994,25.555020801939975,y = -0.005074x + 25.555021
