population,frequency,SNR_median,variance,variance_smoothed,slope,intercept,equation
LEI,1601.56,16.21963441980377,82.85809139883686,0.04330460711711598,0.0003544576884218586,15.651949164334859,y = 0.000354x + 15.651949
LEI,1640.62,16.19223447869525,72.57169793218371,0.08041868719200565,-0.0019688357205758732,19.42234573858644,y = -0.001969x + 19.422346
LEI,1679.69,16.076524496589222,70.83881754242769,0.13612915960136904,-0.0034680071205154127,21.901701376847754,y = -0.003468x + 21.901701
LEI,1718.75,15.931248952409293,68.96079800360509,0.2026246060932393,-0.004201837561095576,23.153157260542315,y = -0.004202x + 23.153157
LEI,1757.81,15.751397540146307,74.83917391422649,0.2706788126545153,-0.004695991056217078,24.006057578675247,y = -0.004696x + 24.006058
LEI,1796.88,15.572461210897641,88.11250473761179,0.324954261888222,-0.004567399042064015,23.77952920160163,y = -0.004567x + 23.779529
LEI,1835.94,15.384891164010982,73.36322972485794,0.35461338344560706,-0.0051804097704774635,24.89581267802138,y = -0.005180x + 24.895813
LEI,1875.0,15.169501687465674,88.26387504676394,0.36103712050149916,-0.00566023402901895,25.782440491876205,y = -0.005660x + 25.782440
LEI,1914.06,14.958223289313985,72.00586681291027,0.35037166749578874,-0.004948844182340503,24.430607984964645,y = -0.004949x + 24.430608
LEI,1953.12,14.786296631858571,63.660009237152664,0.331631917052277,-0.003976421162287702,22.552724332345928,y = -0.003976x + 22.552724
LEI,1992.19,14.637878094632374,68.78355741590997,0.3078730280388413,-0.0037467167329783896,22.10204970290459,y = -0.003747x + 22.102050
LEI,2031.25,14.484473940517917,72.91128551508346,0.2832513289828141,-0.004215279373001509,23.046760166927232,y = -0.004215x + 23.046760
LEI,2070.31,14.320591406372204,84.52231253273482,0.2647045134916896,-0.003761343060742952,22.107737558458943,y = -0.003761x + 22.107738
LEI,2109.38,14.18488867244846,90.4175068258341,0.2542490142145265,-0.0037465192673347292,22.087721484578992,y = -0.003747x + 22.087721
LEI,2148.44,14.027130399327907,82.46282224602938,0.24398689665583242,-0.003789373608436575,22.16837223463738,y = -0.003789x + 22.168372
LEI,2187.5,13.894623434277754,80.05737851239672,0.23168914856403794,-0.003389783393443109,21.309774607434555,y = -0.003390x + 21.309775
LEI,2226.56,13.745482570385043,71.34161083903004,0.217368864930171,-0.004283430524616151,23.28279763927438,y = -0.004283x + 23.282798
LEI,2265.62,13.569294887764842,77.09593496922079,0.1999035213785379,-0.0044633260375020346,23.6814956248502,y = -0.004463x + 23.681496
LEI,2304.69,13.41793653310225,79.91845977961437,0.18685619578970597,-0.003017518037132169,20.37238017810039,y = -0.003018x + 20.372380
LEI,2343.75,13.32459580058283,79.08522672176308,0.17068452828460257,-0.0022574314667956623,18.615450800885164,y = -0.002257x + 18.615451
LEI,2382.81,13.221533443564569,84.14312557222054,0.15870737649824543,-0.003037478794431673,20.459268289724303,y = -0.003037x + 20.459268
LEI,2421.88,13.102851253707502,82.10685060027896,0.1442686729807998,-0.002621284775521018,19.451288425846347,y = -0.002621x + 19.451288
LEI,2460.94,13.00737683752595,90.77238815767106,0.128129619848629,-0.002923115843418426,20.20098954122809,y = -0.002923x + 20.200990
LEI,2500.0,12.878042311262632,87.05935670169711,0.11340791506873767,-0.0029526836822085446,20.259751516783993,y = -0.002953x + 20.259752
LEI,2539.06,12.77945683933802,91.37343417338361,0.10204198387036892,-0.002771525632657526,19.816526712193436,y = -0.002772x + 19.816527
LEI,2578.12,12.65728623524734,85.0543798932082,0.08874436532663707,-0.002916365554848864,20.176026599514294,y = -0.002916x + 20.176027
LEI,2617.19,12.565658791817153,85.42495699758528,0.07598415233668662,-0.001982151335256342,17.7533254449367,y = -0.001982x + 17.753325
