ind;side;ampl;f_max;sym_max;f_Lw1;sym_Lw1;f_Lw2;sym_Lw2;slope_pre;slope_post;mean_500;mean_1000;mean_1500;mean_2000;mean_2500;mean_3000;mean_3500;mean_4000;mean_4500;mean_5000
ESG021;R;-5.200734463276837;1484.38;0.2553191489361702;1484.38;0.2553191489361702;1406.25;0.22916666666666666;0.01268118590988995;-0.010759601651519965;-0.022222222222222143;3.611944444444445;9.644615384615387;-1.6361538461538463;-8.713589743589743;-6.789487179487178;-10.536388888888888;-11.0774358974359;-11.876153846153844;-13.463333333333333
ESG023;L;3.8232485875706215;1875.0;0.40476190476190477;1875.0;0.40476190476190477;1796.88;0.37209302325581395;0.01268118590988995;-0.010759601651519965;6.326111111111111;8.2825;11.612307692307692;8.532307692307691;8.966923076923077;4.341025641025641;7.2811111111111115;-4.912564102564103;-3.1587179487179493;-10.353333333333333
ESG023;R;4.116581920903955;2031.25;0.475;1992.19;0.4567901234567901;1992.19;0.4567901234567901;0.01268118590988995;-0.010759601651519965;4.647222222222222;8.9475;7.7238461538461545;14.428461538461537;6.726410256410256;7.714358974358973;3.326944444444445;-3.8969230769230774;-0.5082051282051282;-10.786333333333333
ESG025;R;-6.985197740112993;1367.19;0.21649484536082475;1367.19;0.21649484536082475;1250.0;0.18;0.01268118590988995;-0.010759601651519965;1.6577777777777776;3.3377777777777777;-0.026410256410256475;-6.797435897435898;-1.3251282051282052;-5.021794871794873;-10.15638888888889;-12.07897435897436;-19.12205128205128;-17.554333333333336
ESG026;L;6.872146892655367;1328.12;0.20408163265306123;1328.12;0.20408163265306123;1367.19;0.21649484536082475;0.01268118590988995;-0.010759601651519965;2.9499999999999997;11.880833333333333;17.17948717948718;11.787435897435898;13.902051282051284;11.585641025641026;6.173055555555556;2.647435897435898;-3.391794871794872;-12.166666666666668
ESG026;R;7.705282485875705;3203.12;1.36;3203.12;1.36;3125.0;1.2692307692307692;0.01268118590988995;-0.010759601651519965;5.886666666666666;3.4488888888888893;12.25692307692308;11.539743589743589;15.894358974358976;14.960512820512822;13.09083333333333;4.687692307692307;0.46846153846153843;-10.207333333333334
ESG028;L;-3.6368079096045203;1523.44;0.26881720430107525;1523.44;0.26881720430107525;2539.06;0.7611940298507462;0.01268118590988995;-0.010759601651519965;-10.377777777777778;1.0622222222222224;7.642051282051282;3.2210256410256406;7.314615384615385;-3.772564102564102;-7.379166666666667;-10.596410256410255;-14.477179487179491;-15.238333333333333
ESG028;R;-2.1729943502824858;1093.75;0.1346153846153846;1054.69;0.12380952380952381;1132.81;0.14563106796116504;0.01268118590988995;-0.010759601651519965;-5.75;6.68638888888889;9.884871794871795;4.163589743589743;5.343589743589742;1.3433333333333328;-8.945555555555558;-10.180769230769233;-12.138205128205128;-17.421666666666667
ESG029;L;0.5217796610169496;1562.5;0.2826086956521739;1562.5;0.2826086956521739;1562.5;0.2826086956521739;0.01268118590988995;-0.010759601651519965;7.228333333333333;8.275555555555554;12.737179487179485;10.612820512820516;0.46871794871794903;-1.75;-5.599722222222223;-7.247179487179488;-7.833076923076922;-10.475999999999997
ESG029;R;0.5899152542372879;1328.12;0.20408163265306123;1328.12;0.20408163265306123;1171.88;0.1568627450980392;0.01268118590988995;-0.010759601651519965;10.846111111111112;13.589166666666669;14.260512820512822;7.164871794871794;2.1233333333333335;-0.6594871794871798;-6.3425;-7.327435897435897;-9.215384615384615;-16.493000000000002
